FG%,3P%,FT%,FTA,TRB,AST,TOV,STL,BLK,Opponent,Point_Differential,Home,Win,Team,Opponent_Win_Rate
0.453,0.351,0.688,16.0,44.0,26.0,14.0,9.0,8.0,ORL,-13,0,0,BOS,0.5476190476190477
0.471,0.394,0.72,25.0,41.0,22.0,14.0,10.0,2.0,ORL,4,0,1,BOS,0.5476190476190477
0.391,0.342,0.789,19.0,53.0,23.0,11.0,4.0,6.0,PHI,-2,0,0,BOS,0.5542168674698795
0.505,0.412,0.833,12.0,58.0,34.0,11.0,4.0,8.0,MEM,36,1,1,BOS,0.3048780487804878
0.447,0.41,0.765,17.0,49.0,26.0,6.0,6.0,6.0,LAC,3,1,1,BOS,0.5060240963855421
0.493,0.452,0.769,26.0,49.0,25.0,20.0,6.0,5.0,BRK,14,0,1,BOS,0.24390243902439024
0.467,0.324,0.714,14.0,44.0,24.0,13.0,7.0,1.0,BRK,-8,1,0,BOS,0.24390243902439024
0.602,0.455,0.773,22.0,37.0,29.0,5.0,6.0,8.0,ORL,9,1,1,BOS,0.5476190476190477
0.437,0.465,0.875,24.0,44.0,24.0,13.0,9.0,7.0,DET,3,1,1,BOS,0.7317073170731707
0.469,0.348,0.6,15.0,43.0,24.0,11.0,10.0,7.0,MIN,-4,0,0,BOS,0.5975609756097561
0.494,0.35,0.793,29.0,46.0,19.0,19.0,9.0,4.0,CLE,2,0,1,BOS,0.6341463414634146
0.563,0.325,0.857,14.0,38.0,18.0,10.0,6.0,3.0,NYK,6,1,1,BOS,0.6463414634146342
0.545,0.426,0.857,21.0,46.0,35.0,10.0,14.0,8.0,WAS,45,0,1,BOS,0.2073170731707317
0.548,0.533,0.833,12.0,38.0,31.0,16.0,9.0,5.0,LAL,21,1,1,BOS,0.6463414634146342
0.478,0.426,0.929,14.0,41.0,24.0,11.0,8.0,9.0,TOR,8,0,1,BOS,0.5609756097560976
0.386,0.286,0.76,25.0,39.0,18.0,14.0,7.0,1.0,MIL,-15,0,0,BOS,0.3902439024390244
0.463,0.256,0.704,27.0,37.0,16.0,13.0,7.0,5.0,DET,-7,1,0,BOS,0.7317073170731707
